"__mclCluster","EnrichmentMap::Colouring (Dataset 1)","EnrichmentMap::ES (Dataset 1)","EnrichmentMap::fdr_qvalue (Dataset 1)","EnrichmentMap::fwer_qvalue (Dataset 1)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (Dataset 1)","EnrichmentMap::pvalue (Dataset 1)","name","NumChildren","NumDescendents","selected","shared name"
"1","1.0","0.4753","0.003","0.008","FBXO5|CDC14A|UBA52|UBB|UBC|PLK1|CCNA1|CCNA2|PTTG1|BTRC|ANAPC1|ANAPC10|PSMA1|ANAPC11|PSMA2|ANAPC15|FZR1|PSMA3|ANAPC16|PSMA4|ANAPC2|PSMA5|ANAPC4|PSMA6|ANAPC5|PSMA7|ANAPC7|PSMB1|PSMB10|PSMB2|AURKB|PSMB3|CCNB1|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|BUB1B|PSMB9|BUB3|PSMC1|PSMC2|PSMC3|PSMC4|CDC16|PSMC5|CDC20|PSMC6|CDC23|PSMD1|CDC26|PSMD10|CDC27|PSMD11|PSMD12|PSMD13|CDK1|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|CUL1|PSMD7|PSMD8|PSMD9|PSME1|SKP2|PSME2|PSME3|PSME4|PSMF1|AURKA|RB1|UBE2C|MAD2L1|UBE2D1|UBE2E1|UBE2S|RPS27A|SEM1|SKP1|NEK2|CDK2","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS","86","ENR","REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS","2.2417","0.0","REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS",,,"false","REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS"
"1","1.0","0.5291","0.0","0.0","ERCC6L|PPP1CC|PPP2CA|PPP2CB|PPP2R1A|PPP2R1B|PPP2R5A|PPP2R5B|PPP2R5C|PPP2R5D|PPP2R5E|CLIP1|INCENP|ITGB3BP|KIF18A|KIF2A|KIF2C|KNL1|KNTC1|RANBP2|MAD1L1|MAD2L1|MAPRE1|MIS12|NDC80|NDE1|NDEL1|NSL1|NUDC|NUF2|NUP107|NUP133|NUP160|NUP37|NUP43|NUP85|NUP98|PAFAH1B1|PLK1|PMF1|AHCTF1|ANAPC1|ANAPC10|ANAPC11|ANAPC15|RANGAP1|ANAPC16|ANAPC2|RCC2|ANAPC4|RPS27|ANAPC5|ANAPC7|SEC13|SEH1L|AURKB|B9D2|SGO1|SGO2|BIRC5|SKA1|BUB1|SKA2|BUB1B|BUB3|CDC16|SPC24|CDC20|SPC25|CDC23|SPDL1|CDC26|CDC27|CDCA8|TAOK1|CENPA|CENPC|CENPE|CENPF|CENPH|CENPI|CENPK|CENPL|CENPM|CENPN|CENPO|CENPP|CENPQ|CENPS|CENPT|CENPU|UBE2C|UBE2D1|UBE2E1|UBE2S|XPO1|ZW10|ZWILCH|ZWINT|CKAP5|CLASP1|CLASP2|DSN1|DYNC1H1|DYNC1I1|DYNC1I2|DYNC1LI1|DYNC1LI2|DYNLL1|DYNLL2","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MITOTIC_SPINDLE_CHECKPOINT","110","ENR","REACTOME_MITOTIC_SPINDLE_CHECKPOINT","2.6269","0.0","REACTOME_MITOTIC_SPINDLE_CHECKPOINT",,,"false","REACTOME_MITOTIC_SPINDLE_CHECKPOINT"
,"-0.9953","-0.5241","0.0324","0.95","NR4A2|NR6A1|NRBF2|NRBP1|PPARA|PPARD|RARA|RORB|RXRB|RXRA|THRA|THRB|VDR|RORA|ESR2|NCOR1|NCOR2|RARB|NR4A3|RARG|ESRRA|NR4A1|ESRRB|ESRRG|HNF4G|MED1|AR|NR0B1|NR1D1|NR1D2|NR1H2|NR1H3|NR2C1|NR2C2|NR2C2AP|NR2E1|NR2F1|NR2F6|NR3C1|NR3C2","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY","40","ENR","REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY","-1.6726","0.0047","REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY",,,"false","REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY"
,"0.9809","0.4111","0.0648","0.882","ACTB|ACTG1|GRB2|PTK2|MAPK1|MAPK3|ABL1|RAC1|NCK1|WASL|CYFIP1|ACTR3|ARPC1A|NCKAP1L|ARPC1B|ARPC2|ARPC3|ARPC4|NCKIPSD|ABI1|ACTR2|WAS|ABI2|WIPF1|WIPF2|BAIAP2|WIPF3|BRK1|CYFIP2|NCKAP1|ARPC5|CDC42|WASF1|WASF2|WASF3","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES","35","ENR","REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES","1.6275","0.0191","REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES",,,"false","REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES"
"4","1.0","0.4334","0.0107","0.053","CUL4A|UBE2V2|ACTB|CUL4B|DDB1|ACTR5|ERCC5|ACTR8|RAD23B|USP45|INO80|INO80B|LIG1|INO80C|LIG3|RNF111|XPA|INO80D|INO80E|PARP1|PARP2|PCNA|NFRKB|UBA52|ERCC1|POLD1|UBB|ERCC4|POLD2|UBC|POLD3|TFPT|POLD4|POLE|POLE2|POLE3|POLK|MCRS1|POLE4|RFC1|RFC2|RAD23A|RFC3|RFC4|RFC5|XRCC1|SUMO2|YY1|CCNH|CDK7|ERCC2|ERCC3|GTF2H1|GTF2H2|GTF2H3|GTF2H4|GTF2H5|RPA1|MNAT1|RPA2|RPA3|SUMO1|RUVBL1|RBX1|UBE2I|RPS27A|DDB2|CETN2|COPS2|COPS3|COPS4|COPS5|PIAS1|COPS6|PIAS3|COPS7A|COPS7B|COPS8|SUMO3|GPS1|XPC|ACTL6A|CHD1L|UBE2N","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER","84","ENR","REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER","2.0932","0.0","REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER",,,"false","REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER"
"14","-1.0","-0.6293","0.0058","0.233","TGM1|DSC2|DSC3|DSG2|DSP|JUP|KAZN|KLK14|KRT10|KRT16|KRT17|FURIN|KRT18|KRT3|KRT7|KRT75|CAPN1|KRT8|KRT80|CAPNS1|KRT86|PCSK6|PERP|PI3|PKP1|PKP3|PKP4|PPL|ST14","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE","29","ENR","REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE","-1.8436","0.0","REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE",,,"false","REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE"
"1","1.0","0.3322","0.0703","0.905","PIK3R1|PIK3R2|PLCG1|CD247|RELA|NCK1|IKBKB|IKBKG|NFKBIA|BCL10|CDC34|LAT|PSMA1|LCP2|PSMA2|PSMA3|PSMA4|PSMA5|NFKB1|PSMA6|PSMA7|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|CHUK|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PTPRJ|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|CSK|PSMD2|PSMD3|PSMD4|PSMD5|PAK1|PSMD6|CUL1|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|PTEN|HLA-DPA1|HLA-DPB1|HLA-DQA1|HLA-DQB1|HLA-DRA|HLA-DRB1|CD4|HLA-DRB5|CD101|ENAH|RPS27A|SEM1|SKP1|PRKCQ|PAG1|UBE2N|EVL|VASP|UBA52|UBB|UBC|BTRC|FBXW11|PAK3|PLCG2|UBE2D2|MAP3K7|ITK|PAK2|UBE2D1|RIPK2|INPP5D|WAS|TAB2|MALT1|TRAF6|PDPK1|UBE2V1|PIK3CA|PIK3CB","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TCR_SIGNALING","102","ENR","REACTOME_TCR_SIGNALING","1.6112","0.0","REACTOME_TCR_SIGNALING",,,"false","REACTOME_TCR_SIGNALING"
"1","-0.9897","-0.4959","0.0648","0.999","PHF8|H3C1|H3C10|H3C11|ARID5B|H3C12|H3C13|JMJD6|H3C14|KDM1B|H3C2|KDM2A|KDM5A|H3C3|KDM2B|KDM5B|H3C4|KDM3A|KDM6A|H3C6|KDM3B|KDM6B|H3C7|KDM4A|H3C8|KDM4B|H4C1|KDM4D|H4C11|KDM5C|H4C12|KDM1A|KDM5D|KDM7A|H4C13|KDM4C|PHF2|H4C14|RIOX2|H4C16|UTY|H4C2|H4C3|H4C4|H4C5|H4C8|H4C9","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HDMS_DEMETHYLATE_HISTONES","47","ENR","REACTOME_HDMS_DEMETHYLATE_HISTONES","-1.5963","0.0103","REACTOME_HDMS_DEMETHYLATE_HISTONES",,,"false","REACTOME_HDMS_DEMETHYLATE_HISTONES"
"14","-1.0","-0.6293","0.0044","0.168","TGM1|DSC2|DSC3|DSG2|DSP|JUP|KAZN|KLK14|KRT10|KRT16|KRT17|FURIN|KRT18|KRT3|KRT7|KRT75|CAPN1|KRT8|KRT80|CAPNS1|KRT86|PCSK6|PERP|PI3|PKP1|PKP3|PKP4|PPL|ST14","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_KERATINIZATION","29","ENR","REACTOME_KERATINIZATION","-1.8599","0.0","REACTOME_KERATINIZATION",,,"false","REACTOME_KERATINIZATION"
"1","1.0","0.3872","0.0281","0.378","ADAM10|ACTA2|AKT1|UBA52|UBB|APH1A|UBC|APH1B|HES1|HES5|HEY1|HEY2|TACC3|PSEN1|PSEN2|PSENEN|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|JAG1|PSMA7|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|KAT2A|PSMB5|KAT2B|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|CREBBP|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|MAML1|PSMD6|CUL1|MAML2|PSMD7|MAML3|PSMD8|MAMLD1|PSMD9|PSME1|PSME2|PSME3|DLL4|PSMF1|YWHAZ|RBPJ|RBX1|EP300|NOTCH2|RPS27A|SEM1|NCSTN|FBXW7|SKP1|NOTCH1|SMAD3|SNW1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SIGNALING_BY_NOTCH4","80","ENR","REACTOME_SIGNALING_BY_NOTCH4","1.8385","0.0","REACTOME_SIGNALING_BY_NOTCH4",,,"false","REACTOME_SIGNALING_BY_NOTCH4"
"3","-1.0","-0.5217","0.0111","0.494","CDH1|COL1A1|COL1A2|COL2A1|VWF|COL3A1|COL10A1|ICAM1|COL18A1|ICAM3|ICAM4|ICAM5|COL4A1|COL4A2|ITGA2B|ITGA4|COL4A3|ITGAL|ITGB3|COL4A4|ITGB1|COL4A5|COL4A6|COL5A1|COL5A2|COL5A3|MADCAM1|COL6A1|COL6A2|COL6A3|COL7A1|KDR|COL8A1|COL8A2|COL9A1|COL9A2|COL9A3|AGRN|BSG|CD44|CD47|COL13A1|COL16A1|ITGA6|COL23A1|F11R|VCAM1|FBN1|ITGA1|ITGA10|ITGA11|ITGA2|ITGA3|ITGA5|ITGA7|ITGA9|ITGAV|ITGAX|ITGB5|ITGB8|JAM2|JAM3|LUM|PECAM1|SPP1|TNC|VTN|THBS1|HSPG2|FN1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS","70","ENR","REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS","-1.7826","0.0","REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS",,,"false","REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS"
"1","-1.0","-0.588","0.0113","0.523","H2AX|H2BC10|H2BC11|H2BC12|H2BC13|H2BC14|H2BC15|H2BC17|H2BC21|H2BC26|H2BC3|H2BC4|H2BC5|H2BC6|H2BC7|H2BC8|H2BC9|H3-3A|HIRA|H3-3B|SRPK1|METTL23|H4C1|H4C11|H4C12|H4C13|H4C14|H4C16|H4C2|H4C3|H4C4|H4C5|H4C8|H4C9","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_REPLACEMENT_OF_PROTAMINES_BY_NUCLEOSOMES_IN_THE_MALE_PRONUCLEUS","34","ENR","REACTOME_REPLACEMENT_OF_PROTAMINES_BY_NUCLEOSOMES_IN_THE_MALE_PRONUCLEUS","-1.7772","0.0","REACTOME_REPLACEMENT_OF_PROTAMINES_BY_NUCLEOSOMES_IN_THE_MALE_PRONUCLEUS",,,"false","REACTOME_REPLACEMENT_OF_PROTAMINES_BY_NUCLEOSOMES_IN_THE_MALE_PRONUCLEUS"
"1","1.0","0.3998","0.0129","0.052","ACTB|ACTG1|ERCC6L|PPP1CC|PPP2CA|PPP2CB|PPP2R1A|PPP2R1B|PPP2R5A|PPP2R5B|PPP2R5C|PPP2R5D|PPP2R5E|ITGB1|DAAM1|CLIP1|INCENP|ITGB3BP|KIF18A|KIF2A|RHOA|KIF2C|RHOB|RHOC|KNL1|KNTC1|RAC1|RANBP2|MAD1L1|MAD2L1|MAPRE1|MIS12|NDC80|NDE1|NDEL1|NSL1|SRC|NUDC|NUF2|NUP107|NUP133|NUP160|DIAPH2|NUP37|EVL|NUP43|MRTFA|PFN2|NUP85|RHOD|SCAI|NUP98|PAFAH1B1|FMNL1|PLK1|PMF1|SRGAP2|AHCTF1|PFN1|RANGAP1|RCC2|DVL1|RPS27|DVL2|DVL3|FMNL2|SEC13|SEH1L|AURKB|B9D2|SGO1|SGO2|BIRC5|SKA1|BUB1|SKA2|BUB1B|BUB3|CDC42|SPC24|CDC20|SPC25|SPDL1|DIAPH3|CDCA8|TAOK1|FMNL3|CENPA|CENPC|TUBA1A|CENPE|TUBA1B|CENPF|TUBA1C|CENPH|TUBA4A|CENPI|TUBA8|CENPK|TUBB1|CENPL|TUBB2A|CENPM|SRF|TUBB2B|CENPN|TUBB3|CENPO|TUBB4A|CENPP|TUBB4B|CENPQ|TUBB6|CENPS|CENPT|CENPU|DIAPH1|XPO1|ZW10|ZWILCH|ZWINT|CKAP5|CLASP1|CLASP2|DSN1|DYNC1H1|DYNC1I1|DYNC1I2|DYNC1LI1|DYNC1LI2|DYNLL1|DYNLL2","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RHO_GTPASES_ACTIVATE_FORMINS","132","ENR","REACTOME_RHO_GTPASES_ACTIVATE_FORMINS","2.0963","0.0","REACTOME_RHO_GTPASES_ACTIVATE_FORMINS",,,"false","REACTOME_RHO_GTPASES_ACTIVATE_FORMINS"
"1","1.0","0.3339","0.0535","0.758","MAP2K7|PIK3R1|PIK3R2|MAPK10|PLCG1|VAV2|VAV3|RELA|IKBKB|IKBKG|ITPR1|NFKBIA|BCL10|CDC34|LAT|PSMA1|FOS|LCP2|PSMA2|PSMA3|CALM1|PSMA4|PSMA5|NFKB1|PSMA6|PSMA7|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|NFATC1|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|CHUK|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PAK1|PSMD6|CUL1|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|RAC1|NFATC2|MAP3K1|RPS27A|SEM1|SHC1|SKP1|PRKCQ|SOS1|LAT2|UBE2N|FYN|GAB2|GRB2|UBA52|UBB|UBC|ITPR3|AHCYL1|BTRC|HRAS|FBXW11|JUN|PLCG2|KRAS|UBE2D2|LYN|MAP3K7|ITK|MS4A2|MAPK1|NFATC3|MAPK3|MAPK8|MAPK9|ITPR2|PAK2|UBE2D1|PPP3CA|PPP3CB|PPP3R1|NRAS|TAB1|TAB2|RASGRP1|TAB3|RASGRP2|TEC|MALT1|TRAF6|PDPK1|UBE2V1|PIK3CA|MAP2K4|PIK3CB","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING","120","ENR","REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING","1.689","0.0","REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING",,,"false","REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING"
"7","0.982","0.3722","0.0879","0.973","NUP210|SYMPK|NUP214|WDR33|NUP35|NUP37|NUP42|NUP43|NUP50|NUP54|NUP58|NUP62|NUP85|NUP88|NUP93|TPR|NUP98|RANBP2|POM121|POM121C|CPSF1|AAAS|CPSF4|NCBP1|NCBP2|EIF4E|RAE1|NDC1|SEC13|SEH1L|ALYREF|FIP1L1|NXF1|SLBP|NUP107|NUP133|NUP153|NUP155|NUP160|CPSF2|NUP188|CPSF3|NUP205","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS","43","ENR","REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS","1.56","0.018","REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS",,,"false","REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS"
"2","1.0","0.3637","0.0431","0.621","NUP210|NUP214|NUP35|NUP37|NUP42|NUP43|NUP50|NUP54|NUP58|NUP62|SRSF1|NUP85|SRSF2|NUP88|SRSF6|NUP93|SRSF7|TPR|NUP98|CDC40|POM121|CHTOP|POM121C|DDX39A|DHX38|FYTTD1|GLE1|NXT1|CPSF1|POLDIP3|AAAS|CPSF4|SARNP|SLU7|DDX39B|SRSF11|SRSF3|SRSF4|CASC3|RAE1|SRSF5|SRSF9|MAGOH|THOC1|MAGOHB|THOC2|THOC3|THOC6|RBM8A|THOC7|RNPS1|SEC13|U2AF1|SEH1L|U2AF1L4|ZC3H11A|UPF3B|THOC5|ALYREF|NXF1|SLBP|CPSF2|CPSF3|SYMPK|SRRM1|WDR33|U2AF2|RANBP2|NCBP1|EIF4A3|NCBP2|EIF4E|NDC1|FIP1L1|NUP107|NUP133|NUP153|NUP155|NUP160|NUP188|NUP205","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM","81","ENR","REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM","1.7484","0.0","REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM",,,"false","REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM"
,"0.9818","0.44","0.0586","0.82","PPARA|PPARGC1A|RXRA|CHD3|CHD4|GATAD2A|GATAD2B|SMAD1|HDAC1|RBBP4|RBBP7|HDAC2|DIO2|MBD3|EBF2|MTA1|HNRNPU|MTA2|MTA3|ZNF423|PRDM16|NCOA1|PPARGC1B|SMAD4|BMP7|ELOVL3|USP46","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANSCRIPTIONAL_REGULATION_OF_BROWN_AND_BEIGE_ADIPOCYTE_DIFFERENTIATION","27","ENR","REACTOME_TRANSCRIPTIONAL_REGULATION_OF_BROWN_AND_BEIGE_ADIPOCYTE_DIFFERENTIATION","1.6599","0.0182","REACTOME_TRANSCRIPTIONAL_REGULATION_OF_BROWN_AND_BEIGE_ADIPOCYTE_DIFFERENTIATION",,,"false","REACTOME_TRANSCRIPTIONAL_REGULATION_OF_BROWN_AND_BEIGE_ADIPOCYTE_DIFFERENTIATION"
"8","-0.9821","-0.5575","0.0916","1.0","CPLX1|PPFIA1|PPFIA2|PPFIA3|PPFIA4|RAB3A|RIMS1|SNAP25|STX1A|STXBP1|SYN1|SYN3|SYT1|TSPOAP1|UNC13B|APBA1|VAMP2|CASK|LIN7A|LIN7B|LIN7C","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE","21","ENR","REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE","-1.557","0.0179","REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE",,,"false","REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE"
"9","-1.0","-0.489","0.0114","0.546","CCL22|CCL5|CCR1|CXCL10|CXCL2|CXCL8|C3|PTAFR|ACKR1|ACKR3|ACKR4|ADORA1|ADORA2A|ADORA2B|ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRB1|AGT|AGTR1|ANXA1|APLN|AVPR1A|BDKRB1|BDKRB2|CXCR4|C3AR1|C5|C5AR1|C5AR2|CCK|CCL25|CCR10|CCR4|CHRM1|CHRM3|CHRM4|CMKLR1|CNR1|CNR2|CORT|CX3CL1|CXCL11|CXCL12|CXCL16|CXCL3|DRD2|DRD4|ECE1|ECE2|EDN1|EDN3|EDNRA|EDNRB|F2R|F2RL1|F2RL2|F2RL3|GAL|GALR1|GNRH1|GPER1|GPR18|GPR35|GPR37|GPR37L1|GPR39|APP|GPR4|GPR65|GPR68|GRPR|HCAR1|HEBP1|HRH1|HRH2|HRH3|HRH4|HTR1D|HTR2A|HTR6|KEL|KISS1R|LPAR1|LPAR2|LPAR4|LPAR6|LTB4R|LTB4R2|MC1R|MC5R|MCHR1|MTNR1A|NLN|NMB|NMU|NPB|NPFFR1|NPS|NPW|NPY|NPY1R|NPY2R|NTSR1|OPN3|OPRD1|OPRL1|OPRM1|OXTR|P2RY1|P2RY11|P2RY2|P2RY6|PENK|PLPPR1|PLPPR2|PLPPR3|PLPPR4|PLPPR5|PROK1|PROKR1|PSAP|PTGER1|PTGER4|PTGIR|QRFPR|RGR|S1PR1|S1PR2|S1PR3|S1PR5|SSTR2|TACR1|TBXA2R|TSHR|UTS2B|UTS2R|CCL2","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS","140","ENR","REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS","-1.771","0.0","REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS",,,"false","REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS"
"2","0.9787","0.4441","0.0539","0.757","POLR2A|POLR2B|POLR2C|POLR2D|POLR2E|POLR2F|POLR2G|GTF2F1|POLR2H|GTF2F2|POLR2I|RNGTT|POLR2J|RNMT|POLR2K|POLR2L|SUPT5H|NCBP1|NCBP2|CCNH|CDK7|ERCC2|ERCC3|GTF2H1|GTF2H2|GTF2H3|GTF2H4|GTF2H5|MNAT1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MRNA_CAPPING","29","ENR","REACTOME_MRNA_CAPPING","1.6897","0.0213","REACTOME_MRNA_CAPPING",,,"false","REACTOME_MRNA_CAPPING"
"11","-1.0","-0.5024","0.0186","0.798","CCL22|IL6R|PIK3R1|CCND1|TGFB1|PIM1|ANXA1|CXCL8|IL12A|IL18|TP53|IL1A|IL1B|AKT1|HMOX1|LIF|NANOG|PTGS2|TIMP1|TWIST1|TYK2|COL1A2|BCL2L1|HGF|HSP90AA1|ICAM1|FOS|TNFRSF1B|ITGB1|JAK2|JUNB|BIRC5|CDKN1A|BCL2|BCL6|F13A1|FSCN1|HIF1A|HSP90B1|HSPA8|IL13RA1|IL13RA2|VCAM1|IL4R|LAMA5|MAOA|MMP1|MMP2|MUC1|NDN|NOS2|POU2F1|MMP9|RHOU|ITGAX|RORA|SOCS3|SOCS5|SOX2|STAT6|VEGFA|VIM|MCL1|ZEB1|JAK1|SOCS1|OPRD1|OPRM1|MYC|CEBPD|FGF2|S1PR1|STAT1|STAT3|FN1|FOXO1|FOXO3|CCL2","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING","78","ENR","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING","-1.7235","0.0","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING",,,"false","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING"
"4","1.0","0.5687","0.0221","0.265","RFC5|RCHY1|UFD1|PCNA|SPRTN|UBA52|UBB|UBC|RPA1|RPA2|VCP|RPA3|NPLOC4|POLH|RFC1|RFC2|RFC3|RFC4|RPS27A","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANSLESION_SYNTHESIS_BY_POLH","19","ENR","REACTOME_TRANSLESION_SYNTHESIS_BY_POLH","1.8983","0.0","REACTOME_TRANSLESION_SYNTHESIS_BY_POLH",,,"false","REACTOME_TRANSLESION_SYNTHESIS_BY_POLH"
"1","-1.0","-0.5625","0.0013","0.026","H2AC14|H2AC18|H2AC19|H2AC20|H2AC4|H2AC6|H2AC7|H2AC8|HDAC1|HDAC10|RBBP4|RBBP7|H2BC10|HDAC2|H2BC11|HDAC3|H2BC12|H2BC13|H2BC14|H2BC15|H2BC17|HDAC8|H2BC21|H2BC26|H2BC3|H2BC4|H2BC5|H2BC6|H2BC7|H2BC8|H2BC9|H3C1|H3C10|H3C11|H3C12|H3C13|H3C14|H3C2|H3C3|H3C4|H3C6|H3C7|H3C8|H4C1|H4C11|H4C12|H4C13|H4C14|H4C16|H4C2|H4C3|H4C4|H4C5|H4C8|H4C9|ARID4A|ARID4B|BRMS1|CHD3|CHD4|GATAD2A|GATAD2B|GPS2|H2AC11|H2AC12|H2AC13|H2AC15|H2AC16|H2AC17|H2AC21|H2AC25|H2BC18|HMG20B|MBD3|MTA1|MTA2|MTA3|PHF21A|RCOR1|REST|SAP18|SAP30|SAP30L|SUDS3|NCOR1|NCOR2|KDM1A|TBL1X|TBL1XR1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HDACS_DEACETYLATE_HISTONES","89","ENR","REACTOME_HDACS_DEACETYLATE_HISTONES","-1.9675","0.0","REACTOME_HDACS_DEACETYLATE_HISTONES",,,"false","REACTOME_HDACS_DEACETYLATE_HISTONES"
